id;regime;year;lat;lon;TOTAL_SOIL_c;NBP_pool_c;NPP;HARVEST_FOREST_c;TOTAL_BM_LITTER_c;AREA
52.5_0.5;BAUppRESIDUAL;2050;52.5;0.5;5454.076171875;-1.9155250718938532e-09;7.850193023681641;4071827200.0;0.11827792972326279;1
52.5_0.5;BAUpRESIDUAL;2050;52.5;0.5;5435.43896484375;6.450210587871652e-09;7.887465476989746;11897966.0;0.0091834906488657;1
52.5_0.5;BAUpN;2050;52.5;0.5;5492.572265625;3.155291583567532e-09;7.896120071411133;200518864.0;0.020940307527780533;1
52.5_1.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_1.5;BAU;2050;52.5;1.5;4632.9814453125;7.691626002781504e-09;7.599950313568115;0.0;0.0036950907669961452;1
52.5_1.5;BAUnDIACUT;2050;52.5;1.5;4637.88330078125;8.06938960096204e-09;7.724700927734375;0.0;0.004953000228852034;1
52.5_1.5;BAUpDIACUT;2050;52.5;1.5;4469.5537109375;2.2037109914663233e-09;7.656468868255615;4486510592.0;0.09817326068878174;1
52.5_1.5;BAUpTHININT;2050;52.5;1.5;4636.59814453125;-1.0340623468607646e-08;7.137983322143555;6833881088.0;0.1804104745388031;1
52.5_1.5;BAUnTHININT;2050;52.5;1.5;4636.90380859375;6.059188706331042e-09;7.612827301025391;291331680.0;0.02165776677429676;1
52.5_1.5;BAUppRESIDUAL;2050;52.5;1.5;4629.53857421875;6.968175814137112e-09;7.604261875152588;544976512.0;0.019891876727342606;1
52.5_1.5;BAUpRESIDUAL;2050;52.5;1.5;4623.85107421875;7.101798704667317e-09;7.558831214904785;154722240.0;0.02332628145813942;1
52.5_1.5;BAUpN;2050;52.5;1.5;4640.83349609375;7.576131721975798e-09;7.647955894470215;0.0;0.0035145983565598726;1
52.5_10.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_10.5;BAU;2050;52.5;10.5;6495.0537109375;1.852356312781467e-08;12.77466106414795;6405191680.0;0.1482909619808197;1
52.5_10.5;BAUnDIACUT;2050;52.5;10.5;6537.8798828125;-4.540910225614425e-08;12.520395278930664;31480905728.0;0.4404030740261078;1
52.5_10.5;BAUpDIACUT;2050;52.5;10.5;6385.9443359375;1.4613979359978657e-08;12.62551498413086;2199389952.0;0.13705845177173615;1
52.5_10.5;BAUpTHININT;2050;52.5;10.5;6586.72900390625;2.7479234887550774e-08;13.027587890625;141864928.0;0.021614089608192444;1
52.5_10.5;BAUnTHININT;2050;52.5;10.5;6531.9365234375;2.132089171880125e-08;12.701441764831543;3004294144.0;0.10063014179468155;1
52.5_10.5;BAUppRESIDUAL;2050;52.5;10.5;6493.75;1.8477429364338605e-08;12.852764129638672;7092771840.0;0.14239409565925598;1
52.5_10.5;BAUpRESIDUAL;2050;52.5;10.5;6486.9951171875;1.758427536913132e-08;12.7978515625;7464798720.0;0.13977405428886414;1
52.5_10.5;BAUpN;2050;52.5;10.5;6502.3291015625;2.6698069532926638e-08;12.745033264160156;339360448.0;0.08015193790197372;1
52.5_11.5;initial_state;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
52.5_11.5;BAU;2050;52.5;11.5;7388.8076171875;6.9426935311867055e-09;10.639883041381836;4526844928.0;0.08974907547235489;1
52.5_11.5;BAUnDIACUT;2050;52.5;11.5;7392.6015625;8.801962714244382e-09;10.679058074951172;3936001792.0;0.08164182305335999;1
52.5_11.5;BAUpDIACUT;2050;52.5;11.5;7424.70849609375;6.773554162009532e-09;10.389115333557129;4215247360.0;0.3221322000026703;1
52.5_11.5;BAUpTHININT;2050;52.5;11.5;7383.43896484375;1.2029550688907875e-08;10.778032302856445;5222553600.0;0.1047409176826477;1
52.5_11.5;BAUnTHININT;2050;52.5;11.5;7404.62744140625;1.4495236122513688e-08;10.824273109436035;1611597696.0;0.03923562914133072;1
52.5_11.5;BAUppRESIDUAL;2050;52.5;11.5;7389.97802734375;1.417313022500366e-08;10.887923240661621;5046553088.0;0.08005562424659729;1
52.5_11.5;BAUpRESIDUAL;2050;52.5;11.5;7376.0419921875;1.9064261280732353e-08;10.899215698242188;52032652.0;0.01596326380968094;1
