id;regime;year;TOTAL_SOIL_c;NBP_pool_c;NPP;AREA
65.5_25.5;BAUnDIACUT;2050;4953.5361328125;1.6582243134166674e-08;5.315678596496582;1
65.5_25.5;BAUpDIACUT;2050;4917.34130859375;2.2540701749562686e-08;5.3292436599731445;1
65.5_25.5;BAUpTHININT;2050;4999.87890625;1.273711713878356e-08;5.304322242736816;1
65.5_25.5;BAUnTHININT;2050;4988.47119140625;1.6909664779518607e-08;5.300172328948975;1
65.5_25.5;BAUppRESIDUAL;2050;5000.3251953125;7.45990558215226e-09;5.2756266593933105;1
65.5_25.5;BAUpRESIDUAL;2050;4983.28271484375;1.5415867693491236e-08;5.317799091339111;1
65.5_25.5;BAUpN;2050;4985.94384765625;1.1654130105398508e-08;5.32520866394043;1
65.5_26.5;initial_state;2020;0.0;0.0;0.0;1
65.5_26.5;BAU;2050;5841.5673828125;-7.184739025944964e-09;4.81886100769043;1
65.5_26.5;BAUnDIACUT;2050;5780.48486328125;2.5077064869094556e-09;4.847614288330078;1
65.5_26.5;BAUpDIACUT;2050;5714.9990234375;-5.8199461250296736e-08;4.825322151184082;1
65.5_26.5;BAUpTHININT;2050;5825.6572265625;1.1672248056981971e-08;4.9151411056518555;1
65.5_26.5;BAUnTHININT;2050;5816.43212890625;6.16149709031788e-09;4.854401111602783;1
65.5_26.5;BAUppRESIDUAL;2050;5823.5419921875;-7.460443818274598e-09;4.838021755218506;1
65.5_26.5;BAUpRESIDUAL;2050;5829.27392578125;-4.599083780476576e-09;4.912309646606445;1
65.5_26.5;BAUpN;2050;5837.7041015625;-4.6505235218319285e-09;4.9291510581970215;1
65.5_27.5;initial_state;2020;0.0;0.0;0.0;1
65.5_27.5;BAU;2050;5304.6953125;-5.9881308800413535e-09;4.663496494293213;1
65.5_27.5;BAUnDIACUT;2050;5288.13525390625;1.2445841024444348e-09;4.68991756439209;1
65.5_27.5;BAUpDIACUT;2050;5178.689453125;-8.489743663631089e-08;4.479307174682617;1
65.5_27.5;BAUpTHININT;2050;5274.431640625;1.070254729285125e-08;4.664035797119141;1
65.5_27.5;BAUnTHININT;2050;5310.48388671875;2.1265660343772197e-09;4.606074333190918;1
65.5_27.5;BAUppRESIDUAL;2050;5300.90771484375;-7.057228579299135e-09;4.659542083740234;1
65.5_27.5;BAUpRESIDUAL;2050;5295.40478515625;-5.495104815622653e-09;4.654112815856934;1
65.5_27.5;BAUpN;2050;5305.2607421875;-5.314356954499999e-09;4.706370830535889;1
65.5_28.5;initial_state;2020;0.0;0.0;0.0;1
65.5_28.5;BAU;2050;5635.82958984375;-3.0418827456912823e-09;4.696644306182861;1
65.5_28.5;BAUnDIACUT;2050;5615.7041015625;2.9207698482025535e-09;4.770288944244385;1
65.5_28.5;BAUpDIACUT;2050;5519.51318359375;1.524910508976518e-08;4.766451358795166;1
65.5_28.5;BAUpTHININT;2050;5599.95751953125;1.8826035841357225e-08;4.744670391082764;1
65.5_28.5;BAUnTHININT;2050;5640.24267578125;1.2291188511426299e-08;4.858504772186279;1
65.5_28.5;BAUppRESIDUAL;2050;5634.046875;-2.8712654476237276e-09;4.705876350402832;1
65.5_28.5;BAUpRESIDUAL;2050;5627.31591796875;-3.1986726600763404e-09;4.702451705932617;1
65.5_28.5;BAUpN;2050;5637.4130859375;-3.0511877469052706e-09;4.697235107421875;1
65.5_29.5;initial_state;2020;0.0;0.0;0.0;1
65.5_29.5;BAU;2050;4097.37744140625;-3.1271623068818144e-09;3.4094486236572266;1
65.5_29.5;BAUnDIACUT;2050;4104.1357421875;-1.7744650193662892e-10;3.5760984420776367;1
65.5_29.5;BAUpDIACUT;2050;4012.35888671875;1.4500362688352197e-08;3.454098701477051;1
65.5_29.5;BAUpTHININT;2050;4042.24072265625;1.4977134199511966e-08;3.4436380863189697;1
65.5_29.5;BAUnTHININT;2050;4115.8544921875;9.93863302767295e-09;3.621041774749756;1
65.5_29.5;BAUppRESIDUAL;2050;4097.3232421875;-2.6819100273911545e-09;3.449549913406372;1
65.5_29.5;BAUpRESIDUAL;2050;4089.705810546875;-3.2439642083659237e-09;3.4137473106384277;1
65.5_29.5;BAUpN;2050;4099.09033203125;-3.062639919448884e-09;3.4220266342163086;1
65.5_30.5;initial_state;2020;0.0;0.0;0.0;1
65.5_30.5;BAU;2050;6116.556640625;2.253858610856696e-08;4.839169502258301;1
65.5_30.5;BAUnDIACUT;2050;6116.3251953125;2.188659742330401e-08;4.808067321777344;1
65.5_30.5;BAUpDIACUT;2050;6116.18994140625;2.2390295839613827e-08;4.826405048370361;1
65.5_30.5;BAUpTHININT;2050;6095.40869140625;3.1265670941138524e-08;4.748682975769043;1
65.5_30.5;BAUnTHININT;2050;6115.23974609375;1.0685718976333192e-08;4.847093105316162;1
65.5_30.5;BAUppRESIDUAL;2050;6116.076171875;2.230554763116288e-08;4.828858375549316;1
65.5_30.5;BAUpRESIDUAL;2050;6115.62939453125;2.2356513085242113e-08;4.828479290008545;1
65.5_30.5;BAUpN;2050;6116.7001953125;2.2308793035108465e-08;4.831689834594727;1
65.5_31.5;initial_state;2020;0.0;0.0;0.0;1
65.5_31.5;BAU;2050;3443.645751953125;2.0709606474156317e-08;3.67879581451416;1
65.5_31.5;BAUnDIACUT;2050;3431.40087890625;8.850596699971902e-09;3.6408984661102295;1
65.5_31.5;BAUpDIACUT;2050;3356.938720703125;3.004514326221397e-08;3.608886480331421;1
65.5_31.5;BAUpTHININT;2050;3432.24951171875;1.920753511797102e-08;3.5938780307769775;1
65.5_31.5;BAUnTHININT;2050;3438.87744140625;7.460323914187938e-09;3.661646842956543;1
65.5_31.5;BAUppRESIDUAL;2050;3446.409423828125;2.0515910748031274e-08;3.684398889541626;1
65.5_31.5;BAUpRESIDUAL;2050;3435.146484375;2.0371340170299845e-08;3.659109115600586;1
65.5_31.5;BAUpN;2050;3447.779296875;2.0762369601357022e-08;3.699105978012085;1
65.5_32.5;initial_state;2020;0.0;0.0;0.0;1
65.5_32.5;BAU;2050;3393.593017578125;-1.1805299848788309e-08;3.532723903656006;1
65.5_32.5;BAUnDIACUT;2050;3397.303955078125;2.01517700304521e-08;3.5779833793640137;1
